Persian,Transliteration
زاغد,/zāqad/
بیخیله,/bīkhīlih/
بی طالع,/bītāli'/
زاغچه,/zāqchih/
فلفل,/filfil/
طلایه دار,/talāyidār/
تناسخ,/tanāsukh/
شش عروس,/shish'arūs/
متوسع,/mutavassi'/
ثلج,/salj/
شش قبرقه,/shishqabru(i)qih/
فلغند,"/fulgund, falqand/"
بید,/bīd/
تناسب,/tanāsub/
ساده نویسی,/sādinivīsī/
مقامات,/maqāmāt/
ساده لوح,/sādilu[w]h/
عریکه,/'arīkih/
چاقو,/chāqū/
دیرینه روز,/dīrīnirūz/
دیرینگی,/dīrīnigī/
تعشیر,/ta'shīr/
ماحصل,/māhasal/
تفتان,/taftān/
تفتت,/tafattut/
فرموده,/farmūdih/
غوشا,/qūshā/
زودپز,/zūdpaz/
متمادی,/muti(a)mādī/
مقمع,/miqma'/
چرت,/chi(a)rt/
شناگر,/shināgar/
شناعت,/shi(a)nā'at/
ناباب,/nābāb/
ناباک,/nābāk/
دوراغ,/dūrāq/
نقوش,/nuqūsh/
متمازج,/mutamāzij/
چکاد,/chakād/
سنگ سبویه,/sangsabūyih/
نقا,/naqā/
سایا,/sāyā/
سایبان,/sāy[i]bān/
حرمله,/harmalih/
انباره,/'ambārih/
انبارک,/'ambārak/
زنگال,/zangāl/
زنگاهن,/zangāhan/
چربیدن,/charbīdan/
ارزیز,/'arzīz/
والاهمت,/vālāhimmat/
والد,/vālid/
سکک,/sikak/
مفر,/mafar[r]/
مفرج,/mufarrij/
سکسی,/siksī/
پاکاری,/pākārī/
پاکار,/pākār/
شکسته بندی,/shikastibandī/
ارزیدن,/'arzīdan/
برسم,/barsam/
جان دانه,/jāndānih/
جان دارو,/jāndārū/
لات,/lāt/
شاهرخ,/shāhrukh/
خلو,/khuluv[v]/
جناغ,/jināq/
انا,/'inā/
جناس,/jinās/
لابیرنت,/lābīrnit/
مهین,/mahīn/
تشمیزج,/tashmīzaj/
گل ریزان,/gulrīzān/
گل ریشه,/gulrīshih/
مهیوه,/mahyavih/
شاهراه,/shāhrāh/
دیمه,/dīmih/
رویین خم,/rūy(')īnkhum/
دیمومت,/diymūmat/
شومیز,/shu(ū)mīz/
شومن,/shu[w]man/
طومار,/tūmār/
سلیمانی,/suliymānī/
امامیه,/'imāmīy[y]ih/
جدکاره,/jidkārih/
گوژ,/gūž/
یرقان,/yaraqān/
گوزینه,/gu[w]zīnih/
یرغو,/yarqū/
رضوی,/razavī/
پستنک,/pistanak/
شرفیاب,/sharafyāb/
شرفه,/sharfih/
سم,/sam[m]/
قاآن,/qā'ān/
مومین,/mūmīn/
توقد,/tavaqqud/
شهوت رانی,/shahvatrānī/
بیوسنده,/bayūsandih/
دیار,/dayyār/
تسامح,/tasāmuh/
بادساری,/bādsārī/
دیاپازون,/dīyāpāzun/
آب داده,/'ābdādih/
راندمان,/rāndimān/
آبنوس,/'ābnūs/
آبو,/'ābū/
دروغ زن,/durūqzan/
اسگذار,/'asguzār/
دروغ پرداز,/durūqpardāz/
زیلو,/zīlū/
اسگالیدن,/'isgālīdan/
زیگزاگ,/zīgzāg/
یغلغ,/yaqliq/
غوغاطلب,/qu[w]qātalab/
صاحب غار,/sāhibqār/
غوغا,/qu[w]qā/
مؤتمن,/mu'taman/
وریب,/vurīb/
ورید,/varīd/
اقتصاد,/'iqtisād/
طیان,/tayyān/
عامه,/'āmmih/
اقتسام,/'iqtisām/
احتراز,/'ihtirāz/
عامه پسند,/'āmmipasand/
احتجاج,/'ihtijāj/
شفاه,/shifāh/
طولانی,/tūlānī/
مناضلت,/munāzilat/
مناصفه,/munāsifih/
گوباره,/gu[w]bārih/
گوایی,/gu(a)vāyī/
چوخا,/chūkhā/
سنگ نگاره,/sangnigārih/
شفانه,/shafānih/
شیپور,/shiypūr/
شیپورچی,/shiypūrchī/
عجولانه,/'ajūlānih/
عجول,/'ajūl/
قمقمه,/qumqumih/
چوچونچه,/chūchūnchih/
نداف,/naddāf/
عاهت,/'āhat/
چامین,/chāmīn/
عاهات,/'āhāt/
محتشم,/muhtasham/
منبل,/mumbal/
شملید,/shamlīd/
پنچه بند,/panchiband/
محتشد,/muhtashid/
منبلی,/mumbalī/
مرثیه خوان,/marsīyikhān/
مرج,/marj/
فنوده,/funūdih/
صاعد,/sā'id/
حمید,/hamīd/
فنودن,/funūdan/
خاکشیر,/khāk[i]shīr/
آرام,/'ārām/
توبه,/tu[w]bih/
صاع,/sā'/
شاره,/shārih/
حمیت,/hamīy[y]at/
تماس,/tamās[s]/
تمارض,/tamāruz/
پرونده,/parvandih/
پروه,/parvih/
متورط,/mutavarrit/
گهزن,/gahzan/
راهوار,/rāhvār/
متوحش,/muti(a)vahhish/
نظم,/nazm/
کدوبا,/kadūbā/
سیرسور,/sīrsūr/
ثالوث,/sālūs/
کدواده,/kad[a]vādih/
ژد,/žad/
ثالثه,/sālisih/
راه نورد,/rāhnavard/
مرصع,/murassa'/
مرصد,/marsad/
گنج نامه,/ganjnāmih/
فره,/farrih/
منتهی الیه,/munti(a)hā'ilayh/
ت,/t/
فرویشی,/farvīshī/
حشیش,/hashīsh/
سرخارنگ,/surkhārang/
منتهی,/muntahī/
سترب,/sitrab/
لاوه,/lāvih/
حشویه,/hashvīy[y]ih/
لاونعم,/lāvāna'am/
ضرب الاجل,/zarbul'ajal/
احزاب,/'ahzāb/
گنجفه,/ganji(a)fih/
مخاوف,/makhāvif/
مواد,/mavād[d]/
احریض,/'ihrīz/
مخامرت,/mukhāmirat/
پالادیم,/pālādīyum/
مؤاخذه,/mu'ākhizih/
چارطبع,/chārtab'/
چارطاق,/chārtāq/
محارب,/muhārib/
شیربها,/shīrbahā/
محاذی,/muhāzī/
شاه بالا,/shāhbālā/
بگیروببند,/bigīrubiband/
شاه بال,/shāhbāl/
ظالمانه,/zālimānih/
لایفهم,/lāyufham/
لایغفر,/lāyuqfar/
شیربرنج,/shīribirinj/
ناگاه,/nāgāh/
ناشناسا,/nāshināsā/
ظالم گداز,/zālimgudāz/
اجنه,/'ajinnih/
اجنحه,/'ajnihih/
کیارنگ,/kayārang/
کیارا,/kayārā/
وقر,/vaqr/
وقع,/vaq'/
صندوقدار,/sandū(u)qdār/
فرح افزا,/farah[']afzā/
فرح,/farah/
تیرکش,/tīrki(a)sh/
مقاطع,/maqāti'/
مقاصد,/maqāsid/
ماورا,/māvarā/
عاج,/'āj/
آرام سوز,/'ārāmsūz/
خصال,/khisāl/
علی العجاله,/'alal'ijālih/
ماوراالطبیعه,/māvarā'uttabī'ih/
تبارز,/tabāruz/
پری پیکر,/parīpiykar/
تبارک,/tabārak/
آرام جو,/'ārāmjū/
باژخواه,/bāžkhāh/
جهول,/jahūl/
پوست خرکن,/pūstikharkan/
پوست تخت,/pūsttakht/
کوزر,/kū(u[w])zar/
کوزگک,/kūzigak/
جهوری,/jahvarī/
شیزوفرنی,"/shīzufirnī, shīzufrinī/"
ساختن,/sākhtan/
برساد,/barsād/
پدرگیر,/pidargīr/
پدرمرده,/pidarmurdih/
عباسی,/'abbāsī/
شلغم با,/shalqambā/
حاضره,/hāzirih/
شلف,/shalf/
پرست,/parast/
شیز,/shīz/
جشان,/jashān/
درد,/dard/
جشا,/jushā/
انجاد,/'anjād/
ثار,/sār/
گورخانه,/gūrkhānih/
ثابته,/sābitih/
شب کار,/shabkār/
بیت الحرام,/biyytulharām/
چهارتکبیر,/cha(ā)hārtakbīr/
سلاما,/sulāmā/
شبک,/shabak/
عالی قدر,/'ālīqadr/
سلامانه,/salāmānih/
چهارتخم,/cha(ā)hārtukhm/
عالی شان,/'ālīsha'n/
اورانگوتان,/'u(ū)rāngūtān/
مخمر,/mukhammar/
آهسته کار,/'āhistikār/
شاریده,/shārīdih/
یرمع,/yarma'/
دیلم,/diylam/
سنگ چین,/sangchīn/
یرلیغ,/yarlīq/
مخلوقات,/makhlūqāt/
طبقه,/tabaqih/
طبق کش,/tabaqki(a)sh/
ژاژخایی,/žāžkhāy(')ī/
غلغونه,/qulqūnih/
غلفتی,/qiliftī/
ژاژخا,/žāžkhā/
بادوام,/bādavām/
کیابیا,/kīyābīyā/
گرنج بشیر,/gurinjbishīr/
مستشرف,/mustashrif/
مطایبه,/mutāyibih/
مستشار,/mustashār/
کیا,/kīyā/
نارسید,/nāri(a)sīd/
معاول,/ma'āvil/
هامش,/hāmish/
هام رنگ,/hāmrang/
تنظیم,/tanzīm/
دالمن,/dālman/
دالتونیسم,/dāltunīsm/
کشفتن,/kashaftan/
غم آلود,/qam[']ālūd/
گلیسین,/gilīsīn/
اولجامیشی,/'ūljāmīshī/
واخیدن,/vākhīdan/
آزمایش,/'āz[i]māyish/
استیل,/'istīl/
شیشه گر,/shīshigar/
شیشه گرخانه,/shīshigarkhānih/
ژوپین,/žūpīn/
ژوپیتر,/žūpītir/
پرتوشناس,/partu[w]shinās/
زبان ران,/zabānrān/
پرتوشناسی,/partu[w]shināsī/
زبان در قفا,/zabāndarqafā/
مفاخره,/mufākhirih/
گنج آگن,/ganj[']āgi(a)n/
عجیب الخلقه,/'ajībulkhilqih/
گنجا,/gunjā/
آستر,/'āstar/
شیرچنگ,/shīrchang/
عجیب,/'ajīb/
شیرخاشاک,/shīrkhāshāk/
سلطان,/sultān/
سلطنت,/saltanat/
تاسف,/ta'assuf/
تاسف آور,/ta'assuf[']āvar/
بادپا,/bādpā/
نمودار,"/ni(a,u)mūdār/"
بی دست وپا,/bīdastupā/
نمود,"/ni(a,u)nūd/"
خیط,/khiyt/
خیک,/khīk/
فرخ,/farkh/
سنگین اسلحه,/sangīn[']asla(i)hih/
سنگین دل,/sangīndil/
چرب سخن,/charbsukhan/
چربزبانی,/charbzabānī/
کژک,/kažak/
سفاله,/sufālih/
فرحناک,/farahnāk/
رویان,/rūyān/
رویارو,/rūyārū/
سفالی,/sufālī/
ژکفری,/žakfarī/
تغذیه,/taqzīyih/
تغر,/taqar/
بیع,/biy'/
کژزخمه,/kažzakhmih/
مثلا,/masalan/
بازپرس,/bāzpurs/
گله چران,/gal[l]icha(i)rān/
گله بان,/gal[l]ibān/
برزیدن,/barzīdan/
برزه گر,/barzigar/
گستراننده,/gustarānandih/
گستر,/gustar/
بغاز,/biqāz/
مثل,/masal/
جارختی,/jārakhtī/
بوتولیسم,/butulīsm/
بوته,/būtih/
دان,/dān/
جارحه,/jārihih/
روستایی,/rūstāy(')ī/
خلل پذیر,/khi(a)lalpazīr/
واریختن,/vārīkhtan/
جان افزا,/jān[']afzā/
مرغب,/muraqqib/
مشکل پسند,/mushkilpasand/
گیتار,/gītār/
گیتی,/gītī/
مشکل گذار,/mushkilguzār/
ریش دار,/rīshdār/
سربینه,/sarbīnih/
مرغانه,/murqānih/
اوثق,/'u[w]saq/
اوثان,/'u[w]sān/
زکی,/zakī[y]/
نسخه,/nuskhih/
نسر,/nasr/
سعفص,/sa'fas/
لیکور,/līku(ū)r/
زکور,/zakūr/
لیکن,/līki(a)n/
زحل,/zuhal/
ابام,/'abām/
ابالیس,/'abālīs/
قرقرو,/qurqurū/
واخیده,/vākhīdih/
وادادن,/vādādan/
اخگل,/'akhgal/
معطر,/mu'attar/
معطل,/mu'attal/
تصاول,/tsāvul/
چکه,/chikkih/
آتش رنگ,/'ātashrang/
آتش دست,/'ātashdast/
عاجزنواز,/'ājiznavāz/
شاه بانک,/shāhbānak/
عاجزوار,/'ājizvār/
نوپا,/nu[w]pā/
چکوک,/chakūk/
استن,/'istin/
هنرپرداز,/hunarpardāz/
هنرپرور,/hunarparvar/
تنبوک,/tambūk/
درغیش,/darqīsh/
ملاست,/malāsat/
ذنب الدجاجه,/zanabuddajājih/
ملاصق,/mulāsiq/
ذنوب,/zunūb/
درغمی,/darqamī/
تملول,/tamlūl/
جاف جاف,/jāfjāf/
تململ,/tamalmul/
انگم,/'angum/
جارو,/jārū/
انگلیون,/'angi(a)lyūn/
جاروب,/jārūb/
مرتعب,/murta'ib/
مرتع,/marta'/
چرب دستی,/charbdastī/
چرب دست,/charbdast/
هذیان,/haz[a]yān/
هذه السنه,/hāzihissanih/
گریه آور,/giryi[']āvar/
تحبیب,/tahbīb/
پناه جای,/panāhjāy/
جوانه,/javānih/
پناه,/panāh/
حین,/hayn/
متقاضی,/muti(a)qāzī/
طفره,/tafrih/
داالصدف,/dā'ussadaf/
طفشیر,/tafshīr/
رفقا,/rufaqā/
داالشیوخ,/dā'ushshu(ī)yūkh/
ایلخی,/'īlkhī/
متقاصر,/mutaqāsir/
مولی,/mu[w]lā/
بهداری,/bihdārī/
موله,/muvallah/
ذخایر,/zakhāy(')ir/
ذحول,/zuhūl/
خشونت,/khushūnat/
اسپر,/'ispar/
طراق,/tarāq/
منخل,/munkhu(a)l/
اسپانیولی,/'ispānīyulī/
رعدآسا,/ra'd[']āsā/
منخلع,/munkhali'/
مهوع,/muhavvi'/
اصبع,/'isba'/
لین,/layyin/
خردسال,/khurdsāl/
رعدانداز,/ra'd[']andāz/
غلام سیاه,/qulāmsīyāh/
مهوش,/mahvash/
خردپیشه,/khiradpīshih/
بی دررو,/bīdarru[w]/
بی دردی,/bīdardī/
فرمولر,/furmūlir/
فرخاردیس,/farkhārdīs/
مستاجر,/musta'jir/
دوشین,/dūshīn/
پردال,/pardāl/
ترهب,/tarahhub/
مهمان خانه,/mihmānkhānih/
فرمول,/furmūl/
تازی,/tāzī/
مهمان دار,/mihmāndār/
وخ وخ,/vakhvakh/
امپریالیسم,/'ampir[ī]yālīsm/
پرداغ,/purdāq/
وخیم,/vakhīm/
کفور,/kafūr/
تزوال,/tazvāl/
بی دین,/bīdīn/
تزلزل,/tazalzul/
اپرویز,/'aparvīz/
کاروان خانه,/kār[i]vānkhānih/
اپسان,/'apsān/
خرند,/kharand/
ردیابی,/radyābī/
ردیاب,/radyāb/
سویا,/suyā/
زاغ رنگ,/zāqrang/
ضلع,/zil'/
نشوه,/nashvih/
شفک,/shafak/
زاغر,/zāqar/
شفقت,/shafi(a)q[q]at/
دقت,/diqqat/
ضلوع,/zulū'/
قرض دار,/qarzdār/
دقایق,/daqāyiq/
شیداهرمن,/shīd[']ahriman/
شیداسپهبد,/shīd[']ispahbu(a)d/
مغایر,/muqāyir/
مستعان,/musta'ān/
گلشن,/gulshan/
خنکی,/khunakī/
خنگ,/khing/
سراغ,/surāq/
زب,/zab/
سراشیبی,/sarāshībī/
استر,/'astar/
بیت الشرف,/biyytushsharaf/
استراتژی,/'ist[i]rātižī/
سفیده,/sifīdih/
سریانی,/suryānī/
زنگوله,/zangūlih/
سفیدنامه,/sifīdnāmih/
خوش خلق,/khushkhulq/
خوش خط,/khushkhat[t]/
زنگلیچه,/zangulīchih/
درستی,/durustī/
جحود,/juhūd/
فوطه,/fūtih/
جحیم,/jahīm/
گماریدن,/gumārīdan/
فوژان,/fūžān/
بی تابی,/bītābī/
بی تابانه,/bītābānih/
قویم,/qavīm/
پتیره,/patīrih/
پتیالین,/pityālīn/
بیواره,/bīvārih/
زستن,/zistan/
روسی,/rūsī/
زریون,/zarīyūn/
بلدرچین,/bildirchīn/
روسفید,/rūsifīd/
بلدان,/buldān/
تلقا,/tilqā/
ناگسل,/nāgusil/
نیک انجام,/nīk[']anjām/
نیک اختر,/nīk[']akhtar/
مضاجع,/mazāji'/
ناگسستنی,/nāgusastanī/
لک درا,/lakdarā/
تلفیق,/talfīq/
چشمیزک,/chi(a)shmīzak/
فیزیک دان,/fīzīkdān/
فیزیوتراپی,/fīzīyut[i]rāpī/
کبیکه,/kabīkih/
کعاب,/ki'āb/
کظم,/kazm/
خشته,/khishtih/
طیف,/tiyf/
طیطوی,"/ti(a)ytuvā, tītuvā/"
احوال پرسی,/'ahvālpursī/
مسطر,/mastar/
پرزیان,/purzīyān/
احوال,/'ahvāl/
زده,/zadih/
کلوخ انداز,/kulūkh[']andāz/
زیرزار,/zīrzār/
کلوخ,/kulūkh/
عصبه,/'asabih/
درای,/darāy/
هزارآوا,/hizār[']āvā/
هزار,/hizār/
عصبانی,/'asabānī/
زیردستی,/zīrdastī/
معلوم,/ma'lūm/
معلومات,/ma'lūmāt/
یونس,/yūnu(i)s/
ثلثان,/salasān/
مجمعه,/majma'ih/
یونجه زار,/yunjizār/
تیزنا,/tīznā/
هرم,/haram/
ودا,/vidā/
ورپریدن,/varparīdan/
یاوندان,/yāvandān/
گسسته پشت,/gustipusht/
گسسته,/gusastih/
تیزمغز,/tīzmaqz/
قفول,/qufūl/
وداد,/vidād/
آمودن,/'āmūdan/
قفل گر,/quflgar/
کبک,/kabk/
عماد,/'imād/
مرزوان,/marzvān/
عمات,/'ummāt/
مرزو,/marzū/
حنانه,/hannānih/
کبش,/kabsh/
حنایا,/hanāyā/
تشاجر,/tashājur/
ساتن,/sātan/
سابع,/sābi'/
سابری,/sābirī/
قولنج,/qu(ū)la(i)nj/
قلمرو,/qalamru[w]/
ضخیم,/zakhīm/
قلم زده,/qalamzadih/
مشتاقی,/mushtāqī/
قولنامه,/qu[w]lnāmih/
آزردگی,/'āzurdigī/
متجلی,/muti(a)jallī/
کناره جویی,/kinārijūy(')ī/
هلا,/halā/
آزردن,/'āzurdan/
هل,/hil/
کناره جو,/ka(i)nārijū/
قداره بند,/qad[d]āriband/
قداره,/qaddārih/
عمود,/'amūd/
هرز,/harz/
عمو,/'amū/
هرزآب,/harz[']āb/
بیوگی,/bīvigī/
نیتروگلیسیرین,/nītrugilīsirīn/
متزاید,/muti(a)zāyid/
ورپوشه,/varpūshih/
سرر,/surur/
ورپریده,/varparīdih/
چشم انداز,/chi(a)shm[']andāz/
سردین,/sardīnih/
مدح گر,/madhgar/
چشمارو,/chi(a)shmārū/
مخلص,/makhlas/
اولویت,/'u[w]lavīy[y]at/
شقشقه,/shaqshaqih/
اولوالعلم,/'ulul'ilm/
حراست,/hi(a)rāsat/
یالمند,/yālmand/
عالی مقدار,/'ālīmiqdār/
رستگار,/rast[i]gār/
رستخیز,/rast[a]khīz/
عالی مقام,/'ālīmaqām/
قریر,/qarīr/
لیتر,/lītr/
مهشید,/mahshīd/
سلسل,/salsal/
مهست,"/mahast, mihist/"
سلسبیل,/salsabīl/
خالیه,/khālīyih/
استجابت,/'istijābat/
شکرگر,/shikargar/
استجاره,/'istijārih/
علیه,/'ali(a)yh/
نژاد,/nižād/
نوف,/nūf/
ادنی,/'adnā/
نزیه,/nazīh/
پاک ضمیر,/pākzamīr/
ادوات,/'adavāt/
قصعة المساکین,/qas'atulmasākīn/
نوغان,/nu[w]qān/
قوام,/qavām/
قوالب,/qavālib/
خرمن کوب,/khirmankūb/
خرمن گاه,/khirmangāh/
زبرزیر,/zi(a)barzīr/
زبردستی,/zi(a)bardastī/
عقده,/'uqdih/
کاورسه,/kāvarsih/
اللـه بختی,/'allābakhtkī/
مقوی,/muqavvī/
مقوم,/muqavvam/
کاوان,/kāvān/
متوهم,/mutavahhim/
متون,/mutūn/
انداییدن,/'andāyīdan/
انداینده,/'andāyandih/
بشولیده,"/bi(i,u)shūlīdih/"
درشدن,/darshudan/
عادی,/'ādī/
بشولیون,/bashūlīyūn/
رنج آزما,/ranj[']āz[i]mā/
راسن,/rāsan/
ماوا,/ma'vā/
لوژ,/lu(ū)ž/
شراره,/sharārih/
شراست,/sharāsat/
راسخت,/rāsukht/
مخستان,/mukhistān/
خاطرنشان,/khātirnishān/
فلوره,/filurih/
فلورن,"/fulurin, filuran/"
خاطرنواز,/khātirnavāz/
مانیتیسم,/mānyitīsm/
نفایس,/nafāy(')is/
مخزون,/makhzūn/
متسع,/muttasi'/
مانیتیزور,/mānyitīzur/
متسق,/muttasiq/
شاخچه بند,/shākhchiband/
وه منش,/vihmanish/
شاخچه بندی,/shākhchibandī/
وهن,/vahn/
علاقه بند,/'ilāqiband/
کرومیت,/ku(i)rumīt/
علاقه,/'alāqih/
مد,/mad/
سرآمد,/sarāmad/
سرآغاز,/sar[']āqāz/
متنعم,/muti(a)na''im/
چلک,/chi(u)lk/
فنجیدن,/fanjīdan/
فنجی,/fanjī/
شیرابه,/shīrābih/
شیر,/shayyir/
سمع,/sam'/
مخیم,/mukhayyam/
حنطه,/hintih/
پیچایی,/pīchāy(')ī/
پیچاننده,/pīchānandih/
شب یازه,/shabyāzih/
نخیری,/nakhiyrī/
نخودی,/nukhudī/
حندس,/hindis/
شب یار,/shabyār/
راوچه,/rāvchih/
شجن,/shajan/
رانین,/rānīn/
یک زخم,/yikzakhm/
جوهری,/ju[w]harī/
کعب,/ka'b/
یکسان,/yiksān/
کعب الغزال,/ka'bulqazāl/
جوهرنمک,/ju[w]harnamak/
بت,/but/
غازی,/qāzī/
نام,/nām/
یکان,/yikān/
سرشتن,/sirishtan/
نالین,/nālīn/
یک اسبه,/yik[']asbih/
ابریشم,/'abrīsham/
چارسو,/chārsū/
آرشی,/'ārashī/
مشمول,/mashmūl/
مجلبه,/majlabih/
مشموم,/mashmūm/
بتا,/bitā/
وظیفه شناس,/vazīfishinās/
وظیفه خوار,/vazīfikhār/
طیار,/tayyār/
مر,/mar/
جمجاه,/jamjāh/
جمجم,/jumjum/
چارشاخ,/chārshākh/
مشتاق,/mushtāq/
موازین,/mavāzīn/
غواص,/qavvās/
اندرزا,/'andarzā/
شتروان,/shuturvān/
غواشی,/qavāshī/
حراث,/harrās/
جرایر,/jarāyir/
شتروار,/shuturvār/
حرات,/hurrāt/
جرایم,/jarāy(')im/
طی,/ti(a)y[y]/
کم کاسه,/kamkāsih/
بسودن,/basūdan/
چاره بردار,/chāribardār/
بسنده,/basandih/
اندرز,/'andarz/
ماهچه,/māhchih/
خیره کش,/khīrikush/
چاره اندیشی,/chāri'andīshī/
گبرگه,/gaburgih/
گبرکی,/gabrakī/
مصلحت آمیز,/masla(i)hat[']āmīz/
مصلحت اندیش,/masla(i)hat[']andīsh/
جهان افروز,/jahān[']afrūz/
جهانبان,/jahānbān/
فرفیون,/farfīyūn/
قوایم,/qavāyim/
نقاهت,/niqāhat/
خریده,/kharīdih/
دانگ,/dāng/
دانکو,/dān[a]kū/
ترکب,/tarakkub/
کریون,/karīyūn/
کریمه,/karīmih/
نقاوه,/na(u)qāvih/
خیره سر,/khīrisar/
نمک شناس,/namakshinās/
زرشکی,/zirishkī/
زرشک,/zirishk/
تنگار,/ta(i)ngār/
ترک بند,/tarkband/
رافع,/rāfi'/
سیاحت,/sīyāhat/
رافونه,/rāfūnih/
تنگاتنگ,/tangātang/
صدید,/sadīd/
صدوق,/sadūq/
بوا,/buvā/
بواب,/bavvāb/
سیاح,/sayyāh/
هوچی گری,/hu[w]chīgarī/
هوچی,/hu[w]chī/
شورگیاه,/shūrgīyāh/
کلاژ,/kalāž/
جانور,/jānivar/
جان نواز,/jānnavāz/
توش,/tūsh/
زودانداز,/zūd[']andāz/
توشح,/tavashshuh/
زودازود,/zūdāzūd/
فرادیس,/farādīs/
مشکین ختام,/mu(i)shkīnkhitām/
مذاق,/mazāq/
مشکین پرند,/mu(i)shkīnparand/
رجغک,/rajqak/
مفترق,/muftariq/
رجعی,/ra(i)j'ī/
مفترض الطاعه,/muftarazuttā'ih/
مردم خوار,/mardumkhār/
ناوه کش,/nāvikish/
سیاط,/sīyāt/
سیاسی,/sīyāsī/
مواثیق,/mavāsīq/
متنبی,/mutanabbī/
اشتعال,/'ishti'āl/
نخج,/nakhj/
نخبه,/nukhbih/
میکروسکوپ,/mīkruskup/
آکنده,/'ākandih/
لعاب النحل,"/lu(a,i)'ābunnahl/"
لعاب دار,"/lu(a,i)'ābdār/"
سایه,/sāyih/
شیعه,/shī'ih/
سینماسکوپ,/sīna(i)māskup/
شیعی,/shī'ī/
امام جمعه,/'imāmjum'ih/
زواه,/zivāh/
امامت,/'imāmat/
غوشنه,/qūshanih/
منون,/manūn/
زوانه,/zavānih/
بیگلربیگی,/biyglarbiygī/
زنبق,/zambaq/
خلقان,/khulqān/
خلق,/khalq/
غوشنگ,/qu[w]shang/
آکندنی,/'ākandanī/
سوالف,/savālif/
سوام,/savām/
معلق,/mu'allaq/
سودجویی,/sūdjūy(')ī/
منوط,/manūt/
تاجیل,/ta'jīl/
معلف,/ma(i)'laf/
سودجو,/sūdjū/
تاجیک,/tājīk/
بزمگاه,/bazmgāh/
بزمرغ,/buzmurq/
زنبغل,/zambaqal/
دوزنه,/duzanih/
دفین,/dafīn/
بش,/bash/
خرقه پوش,/khirqipūsh/
بررسی,/barri(a)sī/
بررسته,/barrustih/
خرقه بازی,/khirqibāzī/
دفیله,/difīlih/
ترگون,/targūn/
دیریدن,/dīrīdan/
ترکیده,/tara(tiri)kīdih/
نایب الحکومه,/nā'ibulhukūmih/
نایب الزیاره,/nā'ibuzzīyārih/
ژیروسکوپ,/žīruskup/
ربنا,/rabbanā/
تتری,/tatrī/
ربن,/rabban/
خلت,/khullat/
نهالین,/nihālīn/
ن,/n/
نهالی,/nihālī/
خلجان,/khalajān/
سمیر,/samīr/
هرزه خا,/harzikhā/
سمی,/samī[y]/
زغنار,/zuqnār/
زغند,/zaqand/
هوسناک,/havasnāk/
بوفالو,/būfālu/
هرزه,/harzih/
ناکار,/nākār/
یانع,/yāni'/
یان,/yān/
امنیه,/'amnīy[y]ih/
چوب کار,/chūbkār/
چوبک,/chūbak/
افتادگی,/'uftādigī/
شکارگر,/shikargar/
شکاکین,/shakkākīn/
شکارگاه,/shikārgāh/
مشوب,/mashūb/
ضریح,/zarīh/
مشورت,/mashvi(a)rat/
ضریبه,/zarībih/
تاجر,/tājir/
غافر,/qāfir/
افروخته,/'afrūkhtih/
تاجرانه,/tājirānih/
درغاله,/darqālih/
خپله,/khipilih/
رضاعت,/ri(a)zā'at/
تلقیح,/talqīh/
خپل,/khipil/
درغم,/darqam/
غافث,/qāfas/
صحیح العمل,/sahīhul'amal/
رندش,/randish/
چاچول,/chāchūl/
یتاقی,/ya(u)tāqī/
صحیح المزاج,/sahīhulmi(a)zāj/
یتوع,/yatū'/
تفتیح,/taftīh/
اسطقس,/'ustuqus[s]/
سویه,/savīy[y]ih/
قضایی,/qazāy(')ī/
کرف,/kurf/
فجار,/fujjār/
فجاه,/fuj'ih/
کرغست,/karqast/
تفته دل,/taftidil/
میکا,/mīkā/
میکادو,/mīkādu/
فیلک,/fa(i)y[a]lak/
ایسر,/'a(i)ysar/
صلصله,/salsalih/
همکاری,/hamkārī/
ایشان,/'īshān/
گچ اندود,/gach[']andūd/
یکی,/yikī/
ذباب,/zubāb/
همکار,/hamkār/
بنشن,/bunshan/
ذب,/zab[b]/
مهاب,/mahāb[b]/
گچ,/gach/
پخت,/pakht/
آکنیده,/'ākanīdih/
یک بسی,/yikbasī/
یک بخته,/yikbakhtih/
آکنیدن,/'ākanīdan/
قوی جثه,/qavījussih/
همج,/hamaj/
عربیت,/'arabīy[y]at/
مترنم,/muti(a)rannim/
فرامون,/firāmun/
عرج,/'araj/
آتشه,/'ātashih/
دیوان بیگی,/dīvānbiygī/
فراموشیدن,/farāmūshīdan/
مترقی,/muti(a)raqqī/
قوی پنجه,/qavīpanjih/
سله,/sallih/
سفارش,/sifārish/
عذاری,/'azārī(ā)/
پوست کن,/pūstkan/
ذات الیمین,/zātulyamīn/
بوشپاس,/būshpāsh/
سفارتخانه,/sifāratkhānih/
ذاتی,/zātī/
لرد,/lard/
ترفیه,/tarfīh/
ثناخوان,/sanākhān/
قهرمان,/qahra(i)mān/
پرخاش,/parkhāsh/
قهر,/qahr/
مشک بید,/mu(i)shkbīd/
بغا,/baqā/
زابلی,/zābulī/
بغات,/buqāt/
زابه را,/zābirā/
بداخم,/bad[']akhm/
آلبومین,/'ālbumīn/
مجدد,/mujaddad/
سوزه,/sūzih/
سوزنی,/sūzanī/
آلبومن,/'ālbumin/
بداختر,/bad[']akhtar/
مجدب,/mujdib/
حاش للـه,/hāshalillā(a)h/
